Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Colec10	Colec10	197.196205578264	4.01563473414702	0.235278701955026	17.0675658305639	2.587660492694e-65	2.27791753171853e-61
Lum	Lum	353.246047352215	3.91445203449495	0.314424678154676	12.4495699811746	1.40600648829425e-35	1.12518864695039e-32
Cp	Cp	95.0765542336604	3.8800906429913	0.369717759828076	10.4947369712388	9.13317276209439e-26	2.92361162998971e-23
Fap	Fap	126.19107225482	3.82857494649596	0.382796950442506	10.0015816272052	1.49982211484299e-23	3.9411743513322e-21
Sema3d	Sema3d	199.359805219304	3.68328599796756	0.354033806045587	10.4037691742163	2.3831584562479e-25	6.99298129678342e-23
Fibin	Fibin	68.3937822904416	3.62597333692645	0.322341432728852	11.2488590319587	2.34607193586703e-29	1.116349797375e-26
Nkx3-2	Nkx3-2	70.7974913808706	3.49262406542536	0.329567057666771	10.5976127897977	3.05683452327455e-26	1.01544582295796e-23
Saa2	Saa2	54.0425166039587	3.32775856360417	0.310811617561052	10.7066736749327	9.47036401366196e-27	3.40275977192923e-24
Saa1	Saa1	53.181445407373	3.31276725499462	0.283999123260982	11.6647094433117	1.93061056964938e-31	1.17208033411196e-28
Nxf3	Nxf3	53.5587788053333	3.29897280921711	0.417534234079436	7.90108340814391	2.76489550070535e-15	3.38046876287628e-13
Chrna4	Chrna4	101.949284410165	3.27661672488258	0.32191799167134	10.1784206215719	2.4754641224898e-24	6.70508020623929e-22
Pkdcc	Pkdcc	2481.97968597533	3.26429588347567	0.255858174554325	12.758223922928	2.80524321284977e-37	2.59942694765438e-34
Pax1	Pax1	812.836885185843	3.19947009305655	0.42090417245378	7.60142165948209	2.92895060707747e-14	3.20292573839789e-12
Ptgs2	Ptgs2	31.756900640501	3.1800936211996	0.357638574903501	8.89192006778817	6.00618948841491e-19	1.10151012638576e-16
Tdo2	Tdo2	66.8507346433263	3.17674749070232	0.305206861905999	10.4085061222533	2.26751879873923e-25	6.88309240872463e-23
Epyc	Epyc	9.9842943521954	3.11909478476137	0.417301296825693	7.47444306664645	7.75315038488635e-14	8.12511700454221e-12
Cst9	Cst9	9.38443876800742	3.04594363355583	0.418332864237556	7.28114832456996	3.30990516424478e-13	3.13302098503729e-11
Pappa2	Pappa2	44.5607446980567	3.03606266276981	0.392914041305585	7.72704037931936	1.10075738673557e-14	1.27499569413595e-12
Dcn	Dcn	128.284774459311	2.96349350033158	0.31193758028376	9.50027725943049	2.09332196326125e-21	4.55000326977501e-19
Sdpr	Sdpr	110.210146988239	2.89708789739586	0.276345805707355	10.4835602262182	1.02799427638979e-25	3.17523986493311e-23
Myf5	Myf5	81.0759053028179	2.87537333339562	0.337238719246954	8.52622539848406	1.51200509646152e-17	2.31481406333057e-15
Ebf3	Ebf3	672.724885049924	2.78517603003718	0.283328418380815	9.83020357066225	8.3449917079037e-23	2.09888462870504e-20
Irs4	Irs4	115.405837369251	2.76566824825184	0.335336567059411	8.24744009430338	1.61823573910135e-16	2.27925267380947e-14
Cdh15	Cdh15	87.8451787084293	2.71417398741657	0.389942889922803	6.96043974017298	3.39212235262806e-12	2.76489380279489e-10
Ppp2r2b	Ppp2r2b	216.657930796042	2.67812045494586	0.332706192757037	8.04950588010721	8.31289649962238e-16	1.12582196747963e-13
Gpr50	Gpr50	345.008947104692	2.64311457503093	0.231545386334866	11.4151036082766	3.51484880475339e-30	1.76806937304252e-27
Ano4	Ano4	51.0616418392456	2.63463350200227	0.296040482326023	8.89957171161748	5.6062596806111e-19	1.03898745196673e-16
Adh1	Adh1	141.880815008285	2.63213873244215	0.246898918695384	10.6607948967553	1.55264674516117e-26	5.46717971906151e-24
Mc2r	Mc2r	19.9047273639102	2.61429945427495	0.437150040765029	5.98032531279154	2.2269242901741e-09	1.12989132717018e-07
Hdac9	Hdac9	90.9632989229268	2.59518876565455	0.283539352584381	9.15283449016914	5.54589119741469e-20	1.1223098899044e-17
Ms4a2	Ms4a2	5.55646005513502	2.5787711367294	0.436339451333414	5.91001141164043	3.42084031953628e-09	1.68703962649176e-07
AI646519	AI646519	26.0590918615472	2.54492710834728	0.424878139353709	5.98978123990663	2.10123478743837e-09	1.07791323776658e-07
A730017C20Rik	A730017C20Rik	119.077254521689	2.53777158067356	0.306738629462431	8.27340066401512	1.30191274989752e-16	1.84850611892708e-14
D030025E07Rik	D030025E07Rik	57.7280133464739	2.51004136344842	0.364827903115849	6.88006959448871	5.98233274377829e-12	4.68110890164269e-10
Upk3b	Upk3b	122.423286917417	2.50236898140905	0.368122036834408	6.79766145740056	1.06330955521296e-11	8.0346043043259e-10
Dpt	Dpt	11.5429458159283	2.4981673041324	0.424278290040664	5.88803943725937	3.90803875894738e-09	1.89024534038537e-07
Gdf6	Gdf6	49.2481349042306	2.4818899913419	0.383333607044823	6.47449100660693	9.51320770435725e-11	6.18042563995992e-09
Adamts2	Adamts2	108.736045298301	2.47180280324005	0.293415034875887	8.42425407507017	3.63055687807831e-17	5.41691393181752e-15
