Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Pax1	Pax1	812.836885185843	3.20013881534363	0.420916110949388	7.60279478997758	2.89802845424939e-14	6.62561755352768e-12
Fap	Fap	126.19107225482	3.07084784638783	0.384347163011641	7.98977628018766	1.35183846866316e-15	3.67324028453997e-13
Cp	Cp	95.0765542336604	2.93197314378982	0.373498364017655	7.85002941445607	4.15939705239221e-15	1.03739143756709e-12
Colec10	Colec10	197.196205578264	2.90125806485277	0.23834743477193	12.1723905593065	4.36119737861672e-34	8.97370875617623e-31
Lum	Lum	353.246047352215	2.87515068454481	0.315558830319637	9.11129845941087	8.14018118691647e-20	4.18736007868225e-17
Fmod	Fmod	65.4559516856676	2.63185452785254	0.370377123883376	7.10587765318156	1.19560295174097e-12	2.07166528301138e-10
Myf5	Myf5	81.0759053028179	2.62891336347318	0.338317834702096	7.77054324016957	7.81502286442952e-15	1.89181016722609e-12
AI646519	AI646519	26.0590918615472	2.59024039224214	0.425093419883065	6.09334388886722	1.10576165773309e-09	1.18194432778859e-07
Cst9	Cst9	9.38443876800742	2.43103161815056	0.425242155100117	5.71681708643915	1.08537839199253e-08	9.55423193079628e-07
Pappa2	Pappa2	44.5607446980567	2.40471941727969	0.396101108006282	6.0709737202794	1.27136994523023e-09	1.33299494703406e-07
Fibin	Fibin	68.3937822904416	2.38799702756204	0.330439790797801	7.22672357889028	4.94785752280051e-13	9.47054449800224e-11
Ebf3	Ebf3	672.724885049924	2.36706002098969	0.283646670793032	8.34510066475226	7.11532511708919e-17	2.20991258023406e-14
Saa1	Saa1	53.181445407373	2.36103870200406	0.292274846537953	8.0781453825773	6.57591820151509e-16	1.83468117822271e-13
9130206I24Rik	9130206I24Rik	410.309133797399	2.34531834590041	0.255538161439217	9.17795734574959	4.39345985051473e-20	2.49381871032148e-17
Dcn	Dcn	128.284774459311	2.30916433436601	0.313501439535612	7.36572163045427	1.7619113894688e-13	3.67124346608177e-11
