Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xist	Xist	20956.1184833538	2.6355002129815	0.54625612891675	4.82466021609278	1.4024214513108e-06	0.00225445622941172
Pdia2	Pdia2	2.47972457687522	2.55545077364572	0.548500894689691	4.65897284468687	3.17791117159194e-06	0.00351218770295377
Itga7	Itga7	9.93658162033824	2.16651913805879	0.510866173618009	4.24087412700527	2.22650978783143e-05	0.0117134938593597
Capn11	Capn11	6.8462635959989	2.0753690133999	0.557470820057373	3.72282985715075	0.000197002283467117	0.0419709804644462
Gm6938	Gm6938	2.88022910157131	2.06909564706112	0.541110322594948	3.82379629562151	0.000131412499443555	0.0348978620412103
Bpifb5	Bpifb5	8.46182928845015	2.06054264043933	0.467601738717958	4.40661885922152	1.04996703594603e-05	0.00807242047679727
Mir423	Mir423	1.59044708128336	1.93810841996813	0.551203087830691	3.51614216748264	0.000437866452261602	0.0619423398027352
Cnr2	Cnr2	15.6534693351149	1.88826593343014	0.478563950392527	3.94569196422202	7.95698539845842e-05	0.0265008552453729
4932412H11Rik	4932412H11Rik	3.54829645755852	1.87206454798606	0.542984815270336	3.44772909911673	0.000565320738419475	0.07103997790536
BC002163	BC002163	287.209066274619	1.8368058246987	0.413186018992112	4.44546945024721	8.77001435794014e-06	0.00775400819457277
Aoc3	Aoc3	14.8760871545247	1.83213247802582	0.415539379470115	4.40904657547044	1.03826696382283e-05	0.00807242047679727
Gnmt	Gnmt	7.98758740875247	1.81949480611485	0.497470091413413	3.65749587265699	0.000254691359414211	0.0500411923169055
Snora20	Snora20	7.07069532388155	1.80913975087119	0.534198539271238	3.38664301354931	0.000707533885557796	0.0817733444334543
Gchfr	Gchfr	46.7660019120063	1.73692434537732	0.457487624731565	3.79665864491193	0.000146659519514516	0.0375852215010897
Prss53	Prss53	28.1599214286237	1.67978089954884	0.482300696129923	3.48284983419626	0.00049610655926582	0.0680050564922286
1700029I15Rik	1700029I15Rik	6.86606678475493	1.66369844849494	0.499178702486198	3.33287145506961	0.000859546453918436	0.0932476070223295
Snord99	Snord99	52.0281004525105	1.61465758843993	0.316171379547806	5.10690623151674	3.27476148731381e-07	0.000723845092252127
Gm10069	Gm10069	74.7448194254069	1.61085937818724	0.415137071949077	3.880307221478	0.000104324605315167	0.0317583248097358
Snord42b	Snord42b	17.1948268314039	1.56689425468439	0.431249329365566	3.63338363213117	0.000279728634787167	0.0531768837739268
